Date,Adj Close,Volume
2016-08-24,13.627537,2573200
2016-08-25,13.280149,792400
2016-08-26,12.922836,1383600
2016-08-29,12.922836,1257100
2016-08-30,12.932761,748700
2016-08-31,12.912910,758700
2016-09-01,12.982388,604600
2016-09-02,13.071716,628300
2016-09-06,12.942687,1034400
2016-09-07,13.012164,762500
2016-09-08,12.505971,3131900
2016-09-09,12.059328,2522600
2016-09-12,12.118880,1251200
2016-09-13,12.317388,1257400
2016-09-14,12.545672,1120300
2016-09-15,12.525821,771100
2016-09-16,12.525821,1037100
2016-09-19,12.595298,1058700
2016-09-20,12.029552,5613700
2016-09-21,12.188358,1924900
2016-09-22,13.131269,3959700
2016-09-23,13.359552,2160500
2016-09-26,13.299999,1679700
2016-09-27,13.720000,1643300
2016-09-28,13.510000,1721300
2016-09-29,13.540000,952400
2016-09-30,13.480000,995800
2016-10-03,14.140000,2435200
2016-10-04,14.190000,1947200
2016-10-05,14.370000,1407800
2016-10-06,14.220000,1095000
2016-10-07,14.220000,1219300
2016-10-10,14.290000,1277400
2016-10-11,14.540000,3156600
2016-10-12,14.260000,1842400
2016-10-13,13.810000,2091400
2016-10-14,13.670000,1206500
2016-10-17,13.630000,1137200
2016-10-18,13.600000,940800
2016-10-19,13.830000,1227000
2016-10-20,13.950000,736000
2016-10-21,13.960000,719600
2016-10-24,14.070000,872500
2016-10-25,13.960000,568000
2016-10-26,14.180000,760900
2016-10-27,14.030000,511700
2016-10-28,14.220000,788700
2016-10-31,14.010000,2023700
2016-11-01,14.100000,1597900
2016-11-02,14.070000,1197100
2016-11-03,14.060000,789900
2016-11-04,14.100000,1236500
2016-11-07,14.250000,2379200
2016-11-08,15.410000,5928400
2016-11-09,16.400000,6423700
2016-11-10,17.100000,3706300
2016-11-11,17.000000,3498600
2016-11-14,16.709999,3023300
2016-11-15,16.660000,1892100
2016-11-16,16.719999,1940200
2016-11-17,16.969999,2148200
2016-11-18,17.110001,989500
2016-11-21,17.350000,1265300
2016-11-22,17.250000,1383100
2016-11-23,17.520000,973700
2016-11-25,17.600000,509100
2016-11-28,17.230000,1211300
2016-11-29,17.080000,1433200
2016-11-30,16.900000,1321200
2016-12-01,17.090000,1135800
2016-12-02,17.400000,1619100
2016-12-05,18.120001,1669300
2016-12-06,18.209999,1186800
2016-12-07,18.260000,1308400
2016-12-08,18.600000,1299000
2016-12-09,18.660000,775200
2016-12-12,18.570000,651000
2016-12-13,19.500000,3681500
2016-12-14,19.400000,1682700
2016-12-15,19.520000,2217800
2016-12-16,19.620001,2574100
2016-12-19,19.520000,1252300
2016-12-20,19.420000,1007100
2016-12-21,19.080000,1193400
2016-12-22,19.120001,978200
2016-12-23,19.070000,678100
2016-12-27,19.389999,708500
2016-12-28,19.230000,419700
2016-12-29,19.160000,601700
2016-12-30,18.930000,861100
2017-01-03,19.500000,917300
2017-01-04,19.120001,2227000
2017-01-05,18.990000,1170900
2017-01-06,18.730000,1102700
2017-01-09,18.520000,1024400
2017-01-10,18.840000,739900
2017-01-11,18.930000,801600
2017-01-12,18.629999,1159500
2017-01-13,18.709999,618800
2017-01-17,18.709999,658300
2017-01-18,18.840000,710300
2017-01-19,18.670000,792400
2017-01-20,18.900000,854000
2017-01-23,18.740000,374700
2017-01-24,18.780001,569200
2017-01-25,18.709999,644300
2017-01-26,18.809999,759900
2017-01-27,18.480000,895600
2017-01-30,18.360001,832200
2017-01-31,18.110001,1463100
2017-02-01,18.270000,729200
2017-02-02,18.309999,893400
2017-02-03,18.309999,1441500
2017-02-06,18.410000,820100
2017-02-07,18.760000,1404700
2017-02-08,18.930000,948800
2017-02-09,19.070000,749200
2017-02-10,18.940001,549600
2017-02-13,19.070000,500800
2017-02-14,19.000000,492800
2017-02-15,19.260000,597100
2017-02-16,19.240000,624900
2017-02-17,19.209999,752900
2017-02-21,19.309999,2472900
2017-02-22,19.240000,1307000
2017-02-23,18.850000,953600
2017-02-24,18.620001,1039100
2017-02-27,18.780001,1881900
2017-02-28,19.270000,4061900
2017-03-01,18.900000,2033000
2017-03-02,18.590000,1264300
2017-03-03,18.240000,1640500
2017-03-06,18.379999,1146900
2017-03-07,18.170000,787700
2017-03-08,18.230000,772500
2017-03-09,18.309999,662200
2017-03-10,18.639999,730500
2017-03-13,18.570000,635800
2017-03-14,18.320000,939100
2017-03-15,18.620001,866900
2017-03-16,18.879999,784700
2017-03-17,18.120001,4092700
2017-03-20,17.700001,1673700
2017-03-21,17.559999,1372400
2017-03-22,17.230000,1843900
2017-03-23,17.309999,889300
2017-03-24,18.129999,4027700
2017-03-27,18.290001,1573600
2017-03-28,18.139999,969800
2017-03-29,18.129999,963100
2017-03-30,18.290001,608400
2017-03-31,18.270000,694700
2017-04-03,18.309999,1066000
2017-04-04,17.910000,1253600
2017-04-05,17.940001,1619900
2017-04-06,17.049999,3128700
2017-04-07,16.719999,2003600
2017-04-10,16.370001,2485100
2017-04-11,16.260000,2096000
2017-04-12,16.010000,1878200
2017-04-13,16.190001,1736300
2017-04-17,16.480000,1019300
2017-04-18,16.400000,1470500
2017-04-19,16.650000,1169900
2017-04-20,16.980000,1417000
2017-04-21,17.230000,2762000
2017-04-24,17.270000,1220600
2017-04-25,17.500000,1474300
2017-04-26,17.879999,1785600
2017-04-27,17.900000,1001000
2017-04-28,17.530001,953100
2017-05-01,17.770000,1470300
2017-05-02,18.010000,1514600
2017-05-03,18.000000,992300
2017-05-04,17.730000,1874100
2017-05-05,17.480000,2355000
2017-05-08,17.549999,2564300
2017-05-09,18.110001,6669100
2017-05-10,19.080000,3746800
2017-05-11,18.790001,3047000
2017-05-12,18.410000,1988100
2017-05-15,18.059999,2113700
2017-05-16,18.000000,1144800
2017-05-17,17.889999,1052200
2017-05-18,17.650000,1777600
2017-05-19,18.070000,1170800
2017-05-22,18.250000,1795900
2017-05-23,18.549999,1581000
2017-05-24,18.350000,1162300
2017-05-25,18.209999,1312400
2017-05-26,18.080000,1514200
2017-05-30,17.809999,2037800
2017-05-31,17.850000,1610200
2017-06-01,17.969999,1745600
2017-06-02,17.610001,1430100
2017-06-05,17.230000,2295200
2017-06-06,17.020000,1544200
2017-06-07,16.709999,1607900
2017-06-08,16.650000,1798700
2017-06-09,16.230000,2350000
2017-06-12,16.120001,2015600
2017-06-13,15.990000,1743900
2017-06-14,17.070000,4540700
2017-06-15,16.490000,1966500
2017-06-16,16.450001,1783700
2017-06-19,16.070000,2973400
2017-06-20,15.650000,1717900
2017-06-21,15.640000,1806500
2017-06-22,15.810000,1363500
2017-06-23,15.650000,964800
2017-06-26,15.100000,5072600
2017-06-27,15.660000,1884200
2017-06-28,16.250000,3669400
2017-06-29,16.350000,2319300
2017-06-30,16.270000,1770800
2017-07-03,16.340000,541100
2017-07-05,15.520000,2659700
2017-07-06,15.180000,2837100
2017-07-07,15.500000,1770300
2017-07-10,15.590000,2168500
2017-07-11,15.150000,2276500
2017-07-12,15.070000,3462800
2017-07-13,15.400000,3283500
2017-07-14,14.930000,3715200
2017-07-17,14.440000,4893600
2017-07-18,14.350000,3115500
2017-07-19,14.620000,1497600
2017-07-20,14.680000,1299500
2017-07-21,14.590000,1805500
2017-07-24,14.480000,1808800
2017-07-25,14.730000,2037200
2017-07-26,15.040000,3040100
2017-07-27,14.640000,2823000
2017-07-28,14.420000,1311100
2017-07-31,15.380000,5118200
2017-08-01,15.270000,5215800
2017-08-02,14.070000,5899600
2017-08-03,13.860000,3151300
2017-08-04,14.210000,3306600
2017-08-07,13.610000,4155300
2017-08-08,12.760000,13249000
